ArtNr,Menge,VPE,ZTN,UL,Pref,NetWeight,Price,Total
1000010151,142.2,M,55159190,DE,true,52.3296,42.53,6047.766
1000010203,726.1,M,55159190,DE,true,267.2048,39.99,29036.739
1000060460,62,M,59069990,DE,true,54.56,55.1715,3420.633
1000068203,5,M,55129990,DE,true,1.56,30.46,152.3
1000192203,11,M,55129990,EU,true,3.465,57.82,636.02
1500010203,252,M,55169200,DE,true,51.66,10.99,2769.48
25000244525,6,M,39211900,DE,true,2.226,4.4212,26.5274
25000314525,18,M,39211900,EU,true,5.31,6.4462,116.0321
3000010460,36.5,M,59032090,DE,true,7.665,18.95,691.675
3000013451,234.3,M,59039091,EU,true,55.7634,39.34,9217.362
3000126451,488.7,M,59039091,EU,true,117.7767,42.12,20584.043999999998
320001000022,6800,M,39211900,US,false,30.872,0.6481,4406.74
3500010004,685.47,M,60063100,EU,true,122.0137,8.43,5778.5121
3500026004,13.6,M,60063100,EU,true,1.5232,6.5,88.4
4000010451,173,M,56039290,IT,true,6.5394,0.68,117.64
50000100555,83,M,59070000,US,false,2.8552,2.7722,230.0926
5000038530950,623.33,M,62179000,BG,true,17.4532,2.3501,1464.8754
5000038530953,96.65,M,62179000,BG,true,4.8325,2.6316,254.347
5000038530956,1526.92,M,62179000,BG,true,61.0768,3.05,4657.106
5000049530950,10,M,62179000,BG,true,0.316,2.1015,21.0145
5000049530956,1.6,M,62179000,BG,true,0.0691,2.7,4.32
5000051401,2,STK,49089000,AT,true,0.0052,1.805,3.61
5600013004,26,KO,55081010,TR,false,7.8364,14.3,371.799
5600013010,12,KO,55081010,SI,true,3.204,16.1,193.2
5600013153,11,KO,55081010,TR,false,3.476,14.3001,157.3007
5600013460,86,KO,55081010,TR,false,27.1588,15,1290
600001300425,40,M,58063290,CN,false,0.4176,0.224,8.96
600001346020,500,M,58063290,CN,false,3.5,0.1829,91.43
600001346025,420,M,58063290,CN,false,4.0824,0.214,89.88
600001346038,209,M,58063290,CN,false,3.135,0.356,74.404
600001346050,75,M,58063290,CN,false,1.587,0.4185,31.3838
600002046020,550.5,M,58063290,CN,false,4.5119,0.1835,101.0388
600002046025,233,M,58063290,CN,false,2.2718,0.214,49.862
600002046038,115,M,58063290,CN,false,1.7308,0.356,40.94
600002046050,75,M,58063290,CN,false,1.5,0.4258,31.9373
650001650015,1,STK,96071900,JP,false,0.0069,0.3761,0.3761
650002050025,17,STK,96071900,AT,false,0.068,0.3958,6.7286
650002050031,753,STK,96071900,AT,false,3.3757,0.4172,314.1516
650002050047,6,STK,96071900,AT,false,0.0346,0.4743,2.8458
650002050056,250,STK,96071900,AT,false,1.6233,0.5064,126.6
650002281250,10,STK,96071900,CN,false,0.2,2.05,20.5
650002281255,155,STK,96071900,CN,false,2.325,2.155,334.025
650002281260,83,STK,96071900,CN,false,3.2951,2.26,187.58
650002281265,6,STK,96071900,CN,false,0.09,2.3649,14.1895
650002281270,2,STK,96071900,CN,false,0.0868,2.47,4.94
650009050018,256,STK,96071900,AT,false,0.8684,0.2299,58.8621
700001146040,69,M,58063210,AT,true,2.07,2.8411,196.0345
700002546040,933,M,58063210,EU,false,30.789,2.964,2765.412
700002720365,56,M,55129990,DE,true,0.4609,1.53,85.68
700003046010,100,M,58063210,EU,true,0.348,0.4675,46.75
700003046018,677,M,58063210,EU,true,4.1297,0.792,536.184
700003246028,655,M,59069990,DE,true,10.48,0.6969,456.4695
700005515120,357,M,58063210,EU,false,3.57,0.88,314.16
73000104603,158.5,M,56041000,DE,true,1.1095,0.276,43.7428
7300014460100,57,M,58062000,CN,false,3.99,0.926,52.782
730001446015,111,M,58062000,AT,true,1.3875,0.5104,56.6522
730001446020,1,M,58062000,EU,true,0.03,0.6808,0.6808
730001446025,113,M,58062000,AT,true,2.2035,0.474,53.562
730001446050,82,M,58062000,CN,false,2.214,0.483,39.606
750001540812.7,4397,STK,96061000,DE,true,4.2651,0.0933,410.416
750001640811.4,2199,STK,96061000,DE,true,0.7697,0.0257,56.5803
750002040810.5,2199,STK,96061000,DE,true,1.1655,0.0331,72.8089
750005046030,430,STK,39269097,IT,true,0.86,0.0465,19.995
750005046040,637,STK,39269097,IT,true,2.0384,0.0743,47.3418
750006850040,1527,STK,39269097,IT,true,4.0313,0.5563,849.4701
750006850060,943,STK,39269097,IT,true,5.2054,0.573,540.3296
750007040139,551,STK,79070000,DE,true,3.7854,0.284,156.484
750007351160,83,STK,39269097,IT,true,0.249,0.6362,52.8013
750008040185,43,STK,73269098,CN,false,2.1294,0.55,23.6504
75000844058,1585,STK,96061000,DE,true,0.951,0.0667,105.7512
750008720418,512,STK,61179000,CZ,true,10.24,3.0324,1552.6042
7500153460,430,STK,39269097,EU,true,2.58,0.4562,196.1488
7500154460,430,STK,39269097,EU,true,4.171,0.58,249.4
88000111530,4,STK,62171000,BG,true,0.24,12.16,48.64
88000111531,40,STK,62171000,BG,true,8.68,12.1452,485.806
88000111532,107,STK,62171000,BG,true,23.219,12.1293,1297.8351
88000111533,91,STK,62171000,BG,true,19.747,12.1413,1104.8565
88000111534,13,STK,62171000,BG,true,2.821,12.1519,157.9743
88000111535,1,STK,62171000,BG,true,0.217,12.16,12.16
88000111536,1,STK,62171000,BG,true,0.06,12.0807,12.0807
88000122032,4,STK,62179000,BG,true,0.12,2.8461,11.3843
88000142031,8,STK,62179000,BG,true,0.24,2.74,21.9198
88000142032,502,STK,62179000,BG,true,15.06,2.656,1333.317
8800020151,4,STK,62179000,BG,true,0.12,8.3,33.2
88000284525,64,STK,62179000,BG,true,0.64,0.15,9.6
88000312032XL,17,STK,62179000,BG,true,1.02,9.1921,156.265
88000312033XL,6,STK,62179000,BG,true,0.36,9.1889,55.1332
88000312034XL,6,STK,62179000,BG,true,0.36,9.1473,54.884
8800031203L,73,STK,62179000,BG,true,4.38,9.0702,662.1239
8800031203M,78,STK,62179000,BG,true,4.68,9.1865,716.5493
8800031203S,35,STK,62179000,BG,true,2.1,9.1602,320.6077
8800031203XL,35,STK,62179000,BG,true,2.1,9.1833,321.4145
8800031203XS,6,STK,62179000,BG,true,0.36,9.1327,54.7963
8800041532F016,513,STK,85238010,DE,true,0.513,0.5228,268.1964
8800044203,513,STK,62179000,BG,true,1.0004,0.5587,286.6336
88000562033,432,STK,62179000,BG,true,15.12,1.7923,774.252
8800059460,255,STK,62179000,BG,true,9.435,2.6352,671.9684
9100603470,215,STK,49089000,AT,true,0.086,0.37,79.55
910060447095,215,STK,49089000,AT,true,3.698,2.9,623.5
910060547040,215,STK,49089000,AT,true,2.021,1.6,344
9110004-01080,40,STK,49089000,AT,true,0.908,8.8,352
9200001532F004,265,STK,58071010,DE,true,0.1431,0.06,15.9
9200002532F002,42,STK,39269097,CN,false,0.126,0.436,18.312
9200002532F003,86,STK,39269097,CN,false,0.258,0.441,37.926
920000553220,529,STK,58071010,DE,false,0.0741,0.01,5.29
9200007532F025,1,STK,58071010,DE,true,0.0015,0.066,0.066
9200009532F018,256,STK,39269097,CN,false,1.28,0.594,152.064
920001253218,462,M,58071090,CN,false,1.386,0.8118,375.0331
9200040532F003,86,STK,39269097,CN,false,0.258,0.4416,37.9767
9200071532F076,88,STK,39269097,CN,false,0.1558,0.059,5.192
9300001532F036,513,STK,49119900,AT,true,1.539,0.085,43.605
9300002532F036,256,STK,49119900,AT,true,0.768,0.085,21.76
9300016532,513,STK,49019900,AT,true,64.638,0.6166,316.3209
9400020450F011,257,STK,39232100,TR,true,13.4925,0.4093,105.185
9400020450F012,256,STK,39232100,TR,true,16.384,0.5194,132.9741
940003040045,550,STK,39269097,CN,false,0.935,0.004,2.1945
