ArtNr,Menge,VPE,ZTN,UL,Pref,NetWeight,Price,Total
9110003-00124,1,STK,49089000,EU,true,0.0144,5.6,5.6
4000010451,100,M,56039290,IT,true,3.28,0.68,68
50000144015,81,M,59070000,US,false,2.3166,1.833,148.473
1000010010,205.9,M,55159190,DE,true,75.7712,40.67,8373.953
1000044010,4.5,M,55129100,DE,true,1.476,63.67,286.515
25000244525,10,M,39211900,DE,true,3.71,4.4212,44.2123
650004750030,5,STK,96071900,TW,false,0.125,0.91,4.55
650004750032,85,STK,96071900,TW,false,2.2015,0.944,80.24
1000010203,18,M,55159190,DE,true,6.624,39.99,719.82
3500010004,31,M,60063100,EU,true,5.5605,8.43,331.299
3500010004,8,M,60063100,EU,true,1.435,8.43,67.9588
9110002-00006,2,STK,49089000,AT,true,0.0212,6.3,12.6
9110004-00026,1,STK,49089000,AT,true,0.0165,6.4,6.4
9110004-00027,2,STK,49089000,AT,true,0.037,6.66,13.32
