Code,Name,Uom,Type
1000010010,IB TEX 220,M,RawMaterial
182485422XL-1,182485422XL-1,M,FinishedGood
182485422XL-2,182485422XL-2,M,FinishedGood
182485422XL-3,182485422XL-3,M,FinishedGood
182485423XL-2,182485423XL-2,M,FinishedGood
182485423XL-3,182485423XL-3,M,FinishedGood
182485423XL-4,182485423XL-4,M,FinishedGood
182485424XL-2,182485424XL-2,M,FinishedGood
182485424XL-3,182485424XL-3,M,FinishedGood
182485424XL-4,182485424XL-4,M,FinishedGood
18248542L-1,18248542L-1,M,FinishedGood
18248542L-2,18248542L-2,M,FinishedGood
18248542L-3,18248542L-3,M,FinishedGood
18248542M-1,18248542M-1,M,FinishedGood
18248542M-2,18248542M-2,M,FinishedGood
18248542M-3,18248542M-3,M,FinishedGood
18248542S-0,18248542S-0,M,FinishedGood
18248542S-1,18248542S-1,M,FinishedGood
18248542S-2,18248542S-2,M,FinishedGood
18248542XL-2,18248542XL-2,M,FinishedGood
18248542XL-3,18248542XL-3,M,FinishedGood
18248542XL-4,18248542XL-4,M,FinishedGood
18248542XS-0,18248542XS-0,M,FinishedGood
18248542XS-1,18248542XS-1,M,FinishedGood
182505422XL-1,182505422XL-1,M,FinishedGood
182505422XL-2,182505422XL-2,M,FinishedGood
182505422XL-3,182505422XL-3,M,FinishedGood
182505423XL-2,182505423XL-2,M,FinishedGood
182505423XL-3,182505423XL-3,M,FinishedGood
182505423XL-4,182505423XL-4,M,FinishedGood
182505424XL-2,182505424XL-2,M,FinishedGood
182505424XL-3,182505424XL-3,M,FinishedGood
182505424XL-4,182505424XL-4,M,FinishedGood
18250542L-1,18250542L-1,M,FinishedGood
18250542L-2,18250542L-2,M,FinishedGood
18250542L-3,18250542L-3,M,FinishedGood
18250542M-1,18250542M-1,M,FinishedGood
18250542M-2,18250542M-2,M,FinishedGood
18250542M-3,18250542M-3,M,FinishedGood
18250542S-0,18250542S-0,M,FinishedGood
18250542S-1,18250542S-1,M,FinishedGood
18250542S-2,18250542S-2,M,FinishedGood
18250542XL-2,18250542XL-2,M,FinishedGood
18250542XL-3,18250542XL-3,M,FinishedGood
18250542XL-4,18250542XL-4,M,FinishedGood
18250542XS-0,18250542XS-0,M,FinishedGood
18250542XS-1,18250542XS-1,M,FinishedGood
1000010151,IB TEX 220,M,RawMaterial
153925262XL-3,153925262XL-3,M,FinishedGood
15392526L-1,15392526L-1,M,FinishedGood
15392526L-2,15392526L-2,M,FinishedGood
15392526L-3,15392526L-3,M,FinishedGood
15392526L-4,15392526L-4,M,FinishedGood
15392526M-0,15392526M-0,M,FinishedGood
15392526M-1,15392526M-1,M,FinishedGood
15392526M-2,15392526M-2,M,FinishedGood
15392526M-3,15392526M-3,M,FinishedGood
15392526S-2,15392526S-2,M,FinishedGood
15392526S-4,15392526S-4,M,FinishedGood
15392526S-5,15392526S-5,M,FinishedGood
15392526XL-2,15392526XL-2,M,FinishedGood
15392526XL-3,15392526XL-3,M,FinishedGood
15392526XL-4,15392526XL-4,M,FinishedGood
182485952XL-1,182485952XL-1,M,FinishedGood
182485952XL-2,182485952XL-2,M,FinishedGood
182485952XL-3,182485952XL-3,M,FinishedGood
182485953XL-2,182485953XL-2,M,FinishedGood
182485953XL-3,182485953XL-3,M,FinishedGood
182485953XL-4,182485953XL-4,M,FinishedGood
182485954XL-2,182485954XL-2,M,FinishedGood
182485954XL-3,182485954XL-3,M,FinishedGood
182485954XL-4,182485954XL-4,M,FinishedGood
18248595L-1,18248595L-1,M,FinishedGood
18248595L-2,18248595L-2,M,FinishedGood
18248595L-3,18248595L-3,M,FinishedGood
18248595M-1,18248595M-1,M,FinishedGood
18248595M-2,18248595M-2,M,FinishedGood
18248595M-3,18248595M-3,M,FinishedGood
18248595S-0,18248595S-0,M,FinishedGood
18248595S-1,18248595S-1,M,FinishedGood
18248595S-2,18248595S-2,M,FinishedGood
18248595XL-2,18248595XL-2,M,FinishedGood
18248595XL-3,18248595XL-3,M,FinishedGood
18248595XL-4,18248595XL-4,M,FinishedGood
18248595XS-0,18248595XS-0,M,FinishedGood
18248595XS-1,18248595XS-1,M,FinishedGood
182505952XL-1,182505952XL-1,M,FinishedGood
