WorkOrder,Product,TargetQty,PlanBeginn,OrderNumber,WeekNumber,Ingredient,Qty,Unit,MRNMK,EFF
PA2602067-0001,182485422XL-1,2,2026-03-06,222-2026/10,12,1000010010,1.57,M,26MKIM10150003D7B3,0.8934
PA2602067-0002,182485422XL-2,2,2026-03-06,222-2026/10,12,1000010010,1.61,M,26MKIM10150003D7B3,0.8934
PA2602067-0003,182485422XL-3,5,2026-03-06,222-2026/10,12,1000010010,4.18,M,26MKIM10150003D7B3,0.8934
PA2602067-0001,182485422XL-1,2,2026-03-06,222-2026/10,12,1000010203,2.99,M,26MKIM10150003D7B3,0.8999
PA2602067-0002,182485422XL-2,2,2026-03-06,222-2026/10,12,1000010203,3.05,M,26MKIM10150003D7B3,0.8999
PA2602067-0003,182485422XL-3,5,2026-03-06,222-2026/10,12,1000010203,7.78,M,26MKIM10150003D7B3,0.8999
PA2602067-0001,182485422XL-1,2,2026-03-06,222-2026/10,12,1000060460,0.23,M,26MKIM10150003D7B3,0.9339
PA2602067-0002,182485422XL-2,2,2026-03-06,222-2026/10,12,1000060460,0.23,M,26MKIM10150003D7B3,0.9339
PA2602067-0003,182485422XL-3,5,2026-03-06,222-2026/10,12,1000060460,0.57,M,26MKIM10150003D7B3,0.9339
PA2602067-0001,182485422XL-1,2,2026-03-06,222-2026/10,12,1000192203,0.1,M,26MKIM10150003D7B3,0.9854
PA2602067-0002,182485422XL-2,2,2026-03-06,222-2026/10,12,1000192203,0.1,M,26MKIM10150003D7B3,0.9854
PA2602067-0003,182485422XL-3,5,2026-03-06,222-2026/10,12,1000192203,0.25,M,26MKIM10150003D7B3,0.9854
PA2602067-0001,182485422XL-1,2,2026-03-06,222-2026/10,12,1500010203,1.65,M,26MKIM10150003D7B3,0.9121
PA2602067-0002,182485422XL-2,2,2026-03-06,222-2026/10,12,1500010203,1.67,M,26MKIM10150003D7B3,0.9121
PA2602067-0003,182485422XL-3,5,2026-03-06,222-2026/10,12,1500010203,4.22,M,26MKIM10150003D7B3,0.9121
PA2602067-0001,182485422XL-1,2,2026-03-06,222-2026/10,12,25000314525,0.17,M,26MKIM10150003D7B3,0.9134
PA2602067-0002,182485422XL-2,2,2026-03-06,222-2026/10,12,25000314525,0.17,M,26MKIM10150003D7B3,0.9134
PA2602067-0003,182485422XL-3,5,2026-03-06,222-2026/10,12,25000314525,0.42,M,26MKIM10150003D7B3,0.9134
PA2602067-0001,182485422XL-1,2,2026-03-06,222-2026/10,12,3000013451,1.32,M,26MKIM10150003D7B3,0.9388
PA2602067-0002,182485422XL-2,2,2026-03-06,222-2026/10,12,3000013451,1.32,M,26MKIM10150003D7B3,0.9388
PA2602067-0003,182485422XL-3,5,2026-03-06,222-2026/10,12,3000013451,3.3,M,26MKIM10150003D7B3,0.9388
PA2602067-0001,182485422XL-1,2,2026-03-06,222-2026/10,12,3000126451,2.61,M,26MKIM10150003D7B3,0.9083
PA2602067-0002,182485422XL-2,2,2026-03-06,222-2026/10,12,3000126451,2.71,M,26MKIM10150003D7B3,0.9083
PA2602067-0003,182485422XL-3,5,2026-03-06,222-2026/10,12,3000126451,7.04,M,26MKIM10150003D7B3,0.9083
PA2602067-0001,182485422XL-1,2,2026-03-06,222-2026/10,12,320001000022,40.12,M,26MKIM10150003D7B3,
PA2602067-0002,182485422XL-2,2,2026-03-06,222-2026/10,12,320001000022,40.12,M,26MKIM10150003D7B3,
PA2602067-0003,182485422XL-3,5,2026-03-06,222-2026/10,12,320001000022,100.3,M,26MKIM10150003D7B3,
PA2602067-0001,182485422XL-1,2,2026-03-06,222-2026/10,12,3500010004,2.98,M,26MKIM10150003D7B3,0.8797
PA2602067-0002,182485422XL-2,2,2026-03-06,222-2026/10,12,3500010004,3.09,M,26MKIM10150003D7B3,0.8797
PA2602067-0003,182485422XL-3,5,2026-03-06,222-2026/10,12,3500010004,7.94,M,26MKIM10150003D7B3,0.8797
PA2602067-0001,182485422XL-1,2,2026-03-06,222-2026/10,12,3500026004,1.23,M,26MKIM10150003D7B3,0.8228
PA2602067-0002,182485422XL-2,2,2026-03-06,222-2026/10,12,3500026004,1.25,M,26MKIM10150003D7B3,0.8228
PA2602067-0003,182485422XL-3,5,2026-03-06,222-2026/10,12,3500026004,3.19,M,26MKIM10150003D7B3,0.8228
PA2602067-0001,182485422XL-1,2,2026-03-06,222-2026/10,12,4000010451,1.08,M,26MKIM10150003D7B3,0.9292
